  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.867 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5726   0.00777   0.00259   0.0033   0.9977   0.0358
  -4.000  -0.4382   0.00680   0.00188  -0.0021   0.9912   0.0838
  -3.000  -0.3183   0.00573   0.00131  -0.0041   0.9669   0.2073
  -2.000  -0.2143   0.00490   0.00091  -0.0023   0.9069   0.3673
  -1.000  -0.1081   0.00446   0.00068  -0.0009   0.8080   0.5266
   0.000  -0.0001   0.00433   0.00061   0.0000   0.6779   0.6759
   1.000   0.1079   0.00447   0.00068   0.0009   0.5269   0.8068
   2.000   0.2139   0.00491   0.00091   0.0023   0.3651   0.9075
   3.000   0.3181   0.00573   0.00131   0.0042   0.2066   0.9671
   4.000   0.4383   0.00680   0.00188   0.0021   0.0837   0.9913
   5.000   0.5725   0.00777   0.00259  -0.0033   0.0358   0.9977
   6.000   0.6879   0.00866   0.00340  -0.0045   0.0219   1.0000
   7.000   0.7846   0.00964   0.00439  -0.0015   0.0161   1.0000
   8.000   0.8834   0.01082   0.00562   0.0008   0.0128   1.0000
   9.000   0.9832   0.01230   0.00717   0.0026   0.0106   1.0000
  10.000   1.0817   0.01400   0.00901   0.0043   0.0092   1.0000
